contract_number,Date Signed,Vendor Name,Award Amount
C-837152,06/25/2016,Marina Holdings,"$1,585,253"
C-061369,2015-09-25,Universal Contractors,"$3,022,342"
C-142928,"Oct 19, 2011",Tech Solutions,"$5,184,706"
C-915004,"Dec 25, 2011",Global Supply,"$599,043"
C-373944,10/17/2013,Bajos LLC,"$357,926"
C-381623,06/20/2018,Servicios Unidos,"$6,715,605"
C-343952,02/15/2013,Construcciones PR,"$1,180,448"
C-565129,"Feb 03, 2016",Acme Corp,"$2,139,692"
C-343626,"Apr 10, 2019",Universal Contractors,"$5,573,539"
C-565414,"Sep 11, 2015",Construcciones PR,"$2,106,781"
C-827921,"Jul 02, 2012",Global Supply,"$3,070,277"
C-961077,01/14/2014,Bajos LLC,"$453,105"
C-034109,"Feb 13, 2011",Global Supply,"$7,530,753"
C-532727,12/11/2013,Island Builders,"$1,768,098"
C-714031,06/14/2018,Bajos LLC,"$7,850,124"
C-412185,"Feb 06, 2016",Island Builders,"$1,400,283"
C-516901,2012-07-17,Tech Solutions,"$3,466,702"
C-962592,02/27/2015,Tech Solutions,"$3,056,011"
C-836736,"Feb 20, 2015",Tech Solutions,"$9,917,498"
C-412164,"Jul 04, 2016",Marina Holdings,"$3,753,592"
C-046798,"Jul 24, 2017",Construcciones PR,"$7,707,247"
C-094458,2015-01-11,Island Builders,"$9,387,337"
C-863945,08/08/2017,Tech Solutions,"$5,542,358"
C-755257,02/15/2017,Acme Corp,"$1,078,787"
C-659820,05/25/2018,Servicios Unidos,"$600,452"
C-125072,07/17/2018,Island Builders,"$3,317,043"
C-022691,2011-09-06,Construcciones PR,"$146,335"
C-578516,"Oct 06, 2016",Universal Contractors,"$3,288,023"
C-251712,2018-09-19,Bajos LLC,"$4,689,125"
C-958719,06/09/2014,Servicios Unidos,"$5,473,646"
C-781153,"Jun 20, 2017",Bajos LLC,"$883,449"
C-823448,05/17/2018,Servicios Unidos,"$1,069,575"
C-312515,"Apr 15, 2019",Universal Contractors,"$1,391,488"
C-759589,01/01/2012,Marina Holdings,"$6,078,073"
C-809246,"Sep 02, 2019",Global Supply,"$4,108,344"
C-821245,"Jan 09, 2016",Bajos LLC,"$1,221,724"
C-272646,"Oct 03, 2014",Global Supply,"$6,143,191"
C-284438,"Nov 05, 2018",Bajos LLC,"$917,180"
C-871589,"Dec 06, 2017",Acme Corp,"$407,651"
C-402862,07/16/2017,Acme Corp,"$6,849,674"
C-875948,2012-09-18,Global Supply,"$8,431,638"
C-560922,2010-04-07,Universal Contractors,"$2,031,504"
C-600371,"Feb 14, 2017",Universal Contractors,"$1,968,639"
C-267292,"Mar 18, 2014",Construcciones PR,"$5,913,208"
