contract_id,award_date,vendor_name,obligated_amount,agency_name,pop_state,source_file,fiscal_year
C-837152,2016-06-25,Marina Holdings,1585253,,,bench_norm_50000,2016
C-061369,2015-09-25,Universal Contractors,3022342,,,bench_norm_50000,2015
C-142928,2011-10-19,Tech Solutions,5184706,,,bench_norm_50000,2012
C-915004,2011-12-25,Global Supply,599043,,,bench_norm_50000,2012
C-373944,2013-10-17,Bajos LLC,357926,,,bench_norm_50000,2014
C-381623,2018-06-20,Servicios Unidos,6715605,,,bench_norm_50000,2018
C-343952,2013-02-15,Construcciones PR,1180448,,,bench_norm_50000,2013
C-565129,2016-02-03,Acme Corp,2139692,,,bench_norm_50000,2016
C-343626,2019-04-10,Universal Contractors,5573539,,,bench_norm_50000,2019
C-565414,2015-09-11,Construcciones PR,2106781,,,bench_norm_50000,2015
C-827921,2012-07-02,Global Supply,3070277,,,bench_norm_50000,2012
C-961077,2014-01-14,Bajos LLC,453105,,,bench_norm_50000,2014
C-034109,2011-02-13,Global Supply,7530753,,,bench_norm_50000,2011
C-532727,2013-12-11,Island Builders,1768098,,,bench_norm_50000,2014
C-714031,2018-06-14,Bajos LLC,7850124,,,bench_norm_50000,2018
C-412185,2016-02-06,Island Builders,1400283,,,bench_norm_50000,2016
C-516901,2012-07-17,Tech Solutions,3466702,,,bench_norm_50000,2012
C-962592,2015-02-27,Tech Solutions,3056011,,,bench_norm_50000,2015
C-836736,2015-02-20,Tech Solutions,9917498,,,bench_norm_50000,2015
C-412164,2016-07-04,Marina Holdings,3753592,,,bench_norm_50000,2016
C-046798,2017-07-24,Construcciones PR,7707247,,,bench_norm_50000,2017
C-094458,2015-01-11,Island Builders,9387337,,,bench_norm_50000,2015
C-863945,2017-08-08,Tech Solutions,5542358,,,bench_norm_50000,2017
C-755257,2017-02-15,Acme Corp,1078787,,,bench_norm_50000,2017
C-659820,2018-05-25,Servicios Unidos,600452,,,bench_norm_50000,2018
C-125072,2018-07-17,Island Builders,3317043,,,bench_norm_50000,2018
C-022691,2011-09-06,Construcciones PR,146335,,,bench_norm_50000,2011
C-578516,2016-10-06,Universal Contractors,3288023,,,bench_norm_50000,2017
C-251712,2018-09-19,Bajos LLC,4689125,,,bench_norm_50000,2018
C-958719,2014-06-09,Servicios Unidos,5473646,,,bench_norm_50000,2014
C-781153,2017-06-20,Bajos LLC,883449,,,bench_norm_50000,2017
C-823448,2018-05-17,Servicios Unidos,1069575,,,bench_norm_50000,2018
C-312515,2019-04-15,Universal Contractors,1391488,,,bench_norm_50000,2019
C-759589,2012-01-01,Marina Holdings,6078073,,,bench_norm_50000,2012
C-809246,2019-09-02,Global Supply,4108344,,,bench_norm_50000,2019
C-821245,2016-01-09,Bajos LLC,1221724,,,bench_norm_50000,2016
C-272646,2014-10-03,Global Supply,6143191,,,bench_norm_50000,2015
C-284438,2018-11-05,Bajos LLC,917180,,,bench_norm_50000,2019
C-871589,2017-12-06,Acme Corp,407651,,,bench_norm_50000,2018
C-402862,2017-07-16,Acme Corp,6849674,,,bench_norm_50000,2017
C-875948,2012-09-18,Global Supply,8431638,,,bench_norm_50000,2012
C-560922,2010-04-07,Universal Contractors,2031504,,,bench_norm_50000,2010
C-600371,2017-02-14,Universal Contractors,1968639,,,bench_norm_50000,2017
C-267292,2014-03-18,Construcciones PR,5913208,,,bench_norm_50000,2014
C-103617,2010-10-04,Marina Holdings,4806755,,,bench_norm_50000,2011
C-419252,2015-08-07,Marina Holdings,198134,,,bench_norm_50000,2015
C-365215,2016-05-26,Tech Solutions,309363,,,bench_norm_50000,2016
C-709160,2018-11-22,Bajos LLC,9418803,,,bench_norm_50000,2019
C-264715,2014-01-24,Bajos LLC,8404530,,,bench_norm_50000,2014
C-685972,2011-09-02,Tech Solutions,1502371,,,bench_norm_50000,2011
C-241205,2017-05-22,Servicios Unidos,4668636,,,bench_norm_50000,2017
C-068266,2016-04-24,Bajos LLC,9149433,,,bench_norm_50000,2016
C-962452,2018-06-13,Tech Solutions,2083148,,,bench_norm_50000,2018
C-351230,2018-04-03,Marina Holdings,8697366,,,bench_norm_50000,2018
C-194587,2019-05-30,Marina Holdings,922944,,,bench_norm_50000,2019
C-660616,2014-09-02,Marina Holdings,595805,,,bench_norm_50000,2014
C-125646,2014-07-06,Tech Solutions,5640338,,,bench_norm_50000,2014
C-262528,2011-04-06,Island Builders,4038791,,,bench_norm_50000,2011
C-231752,2017-08-03,Bajos LLC,4734764,,,bench_norm_50000,2017
C-486196,2013-06-24,Universal Contractors,7473121,,,bench_norm_50000,2013
C-535940,2015-03-01,Acme Corp,7114260,,,bench_norm_50000,2015
C-021287,2010-06-01,Servicios Unidos,7289642,,,bench_norm_50000,2010
C-048673,2012-05-12,Universal Contractors,7176862,,,bench_norm_50000,2012
C-864708,2017-09-07,Acme Corp,4733567,,,bench_norm_50000,2017
C-538421,2012-10-05,Acme Corp,5192840,,,bench_norm_50000,2013
C-820677,2016-09-09,Island Builders,6785620,,,bench_norm_50000,2016
C-257301,2014-01-31,Universal Contractors,1796794,,,bench_norm_50000,2014
C-107903,2012-04-24,Universal Contractors,2947979,,,bench_norm_50000,2012
C-207655,2010-12-06,Global Supply,5027400,,,bench_norm_50000,2011
C-907355,2019-12-09,Servicios Unidos,7941477,,,bench_norm_50000,2020
C-503496,2017-07-24,Acme Corp,4205822,,,bench_norm_50000,2017
C-226007,2014-10-22,Global Supply,7690705,,,bench_norm_50000,2015
C-559010,2012-07-05,Universal Contractors,3264321,,,bench_norm_50000,2012
C-561991,2015-09-29,Bajos LLC,3826843,,,bench_norm_50000,2015
C-381774,2019-02-13,Global Supply,7363265,,,bench_norm_50000,2019
C-503407,2014-07-25,Global Supply,6694641,,,bench_norm_50000,2014
C-535879,2015-06-06,Servicios Unidos,6099723,,,bench_norm_50000,2015
C-682609,2013-09-24,Acme Corp,289599,,,bench_norm_50000,2013
C-673232,2011-11-02,Universal Contractors,3139640,,,bench_norm_50000,2012
C-707381,2019-04-19,Global Supply,4917719,,,bench_norm_50000,2019
C-905138,2011-12-07,Tech Solutions,4616896,,,bench_norm_50000,2012
C-365383,2012-10-03,Tech Solutions,2981645,,,bench_norm_50000,2013
C-688276,2015-09-05,Global Supply,1361321,,,bench_norm_50000,2015
C-897979,2016-11-29,Bajos LLC,4066469,,,bench_norm_50000,2017
C-522121,2017-03-30,Acme Corp,1738600,,,bench_norm_50000,2017
