contract_id,award_date,vendor_name,obligated_amount,agency_name,pop_state,source_file,fiscal_year
C-305226,2010-06-30,Tech Solutions,7908805,,,bench_norm_10000,2010
C-445013,2019-08-26,Marina Holdings,1701396,,,bench_norm_10000,2019
C-215506,2010-05-01,Island Builders,7516225,,,bench_norm_10000,2010
C-813258,2019-09-12,Tech Solutions,723578,,,bench_norm_10000,2019
C-857271,2011-01-03,Tech Solutions,8638752,,,bench_norm_10000,2011
C-965840,2017-06-07,Servicios Unidos,1467917,,,bench_norm_10000,2017
C-190062,2017-01-08,Global Supply,9336444,,,bench_norm_10000,2017
C-002185,2016-09-26,Universal Contractors,190564,,,bench_norm_10000,2016
C-295825,2012-07-13,Bajos LLC,1404847,,,bench_norm_10000,2012
C-247785,2016-04-06,Island Builders,9037156,,,bench_norm_10000,2016
C-163942,2016-05-22,Universal Contractors,9603632,,,bench_norm_10000,2016
C-259378,2016-09-25,Construcciones PR,995011,,,bench_norm_10000,2016
C-953553,2012-03-24,Marina Holdings,1177284,,,bench_norm_10000,2012
C-761243,2012-09-03,Global Supply,7089180,,,bench_norm_10000,2012
C-525088,2015-10-04,Construcciones PR,4403946,,,bench_norm_10000,2016
C-443207,2014-05-31,Bajos LLC,3426969,,,bench_norm_10000,2014
C-237361,2015-06-02,Construcciones PR,7270976,,,bench_norm_10000,2015
C-907992,2010-05-22,Island Builders,5946803,,,bench_norm_10000,2010
C-689622,2017-04-02,Universal Contractors,4077673,,,bench_norm_10000,2017
C-856893,2015-05-11,Construcciones PR,7179166,,,bench_norm_10000,2015
C-865556,2014-02-14,Global Supply,22472,,,bench_norm_10000,2014
C-612502,2011-11-14,Servicios Unidos,5943246,,,bench_norm_10000,2012
C-112837,2015-05-13,Universal Contractors,7924181,,,bench_norm_10000,2015
C-957038,2018-08-23,Bajos LLC,1570047,,,bench_norm_10000,2018
C-316817,2013-06-13,Servicios Unidos,7703001,,,bench_norm_10000,2013
C-094789,2012-06-26,Universal Contractors,5915573,,,bench_norm_10000,2012
C-544283,2013-05-18,Island Builders,2102275,,,bench_norm_10000,2013
C-092050,2018-03-17,Global Supply,6448251,,,bench_norm_10000,2018
C-396485,2011-12-16,Servicios Unidos,7975344,,,bench_norm_10000,2012
