contract_number,Date Signed,Vendor Name,Award Amount
C-305226,06/30/2010,Tech Solutions,"$7,908,805"
C-445013,2019-08-26,Marina Holdings,"$1,701,396"
C-215506,2010-05-01,Island Builders,"$7,516,225"
C-813258,2019-09-12,Tech Solutions,"$723,578"
C-857271,01/03/2011,Tech Solutions,"$8,638,752"
C-965840,06/07/2017,Servicios Unidos,"$1,467,917"
C-190062,01/08/2017,Global Supply,"$9,336,444"
C-002185,09/26/2016,Universal Contractors,"$190,564"
C-295825,"Jul 13, 2012",Bajos LLC,"$1,404,847"
C-247785,04/06/2016,Island Builders,"$9,037,156"
C-163942,05/22/2016,Universal Contractors,"$9,603,632"
C-259378,"Sep 25, 2016",Construcciones PR,"$995,011"
C-953553,"Mar 24, 2012",Marina Holdings,"$1,177,284"
C-761243,"Sep 03, 2012",Global Supply,"$7,089,180"
C-525088,10/04/2015,Construcciones PR,"$4,403,946"
C-443207,05/31/2014,Bajos LLC,"$3,426,969"
C-237361,"Jun 02, 2015",Construcciones PR,"$7,270,976"
C-907992,2010-05-22,Island Builders,"$5,946,803"
C-689622,2017-04-02,Universal Contractors,"$4,077,673"
C-856893,"May 11, 2015",Construcciones PR,"$7,179,166"
C-865556,02/14/2014,Global Supply,"$22,472"
C-612502,2011-11-14,Servicios Unidos,"$5,943,246"
C-112837,05/13/2015,Universal Contractors,"$7,924,181"
C-957038,08/23/2018,Bajos LLC,"$1,570,047"
C-316817,"Jun 13, 2013",Servicios Unidos,"$7,703,001"
C-094789,"Jun 26, 2012",Universal Contractors,"$5,915,573"
C-544283,05/18/2013,Island Builders,"$2,102,275"
C-092050,03/17/2018,Global Supply,"$6,448,251"
C-396485,12/16/2011,Servicios Unidos,"$7,975,344"
C-996879,06/15/2017,Marina Holdings,"$5,603,669"
C-888943,07/30/2011,Marina Holdings,"$1,391,551"
C-753260,02/10/2012,Marina Holdings,"$1,180,637"
C-242498,2016-01-01,Marina Holdings,"$5,521,427"
C-951333,2014-05-24,Acme Corp,"$1,725,418"
C-803372,"Dec 13, 2010",Acme Corp,"$6,312,299"
